bin,pkg,abspath,functions,verified,binary_id
6tunnel,6tunnel-0.13-2-x86_64,/binary-datasets/archsrc/pkg/00000/6tunnel-0.13-2-x86_64/usr/bin/6tunnel,16,16,5815
j2amidi_bridge,a2jmidid-9-4-x86_64,/binary-datasets/archsrc/pkg/00000/a2jmidid-9-4-x86_64/usr/bin/j2amidi_bridge,7,7,26168
a2jmidi_bridge,a2jmidid-9-4-x86_64,/binary-datasets/archsrc/pkg/00000/a2jmidid-9-4-x86_64/usr/bin/a2jmidi_bridge,5,5,10637
a2jmidid,a2jmidid-9-4-x86_64,/binary-datasets/archsrc/pkg/00000/a2jmidid-9-4-x86_64/usr/bin/a2jmidid,84,84,11800
liba52.so.0.0.0,a52dec-0.8.0-2-x86_64,/binary-datasets/archsrc/pkg/00000/a52dec-0.8.0-2-x86_64/usr/lib/liba52.so.0.0.0,,No source files,92049
a52dec,a52dec-0.8.0-2-x86_64,/binary-datasets/archsrc/pkg/00000/a52dec-0.8.0-2-x86_64/usr/bin/a52dec,39,39,15684
extract_a52,a52dec-0.8.0-2-x86_64,/binary-datasets/archsrc/pkg/00000/a52dec-0.8.0-2-x86_64/usr/bin/extract_a52,2,2,100875
aafire,aalib-1.4rc5-18-x86_64,/binary-datasets/archsrc/pkg/00000/aalib-1.4rc5-18-x86_64/usr/bin/aafire,7,7,10840
aainfo,aalib-1.4rc5-18-x86_64,/binary-datasets/archsrc/pkg/00000/aalib-1.4rc5-18-x86_64/usr/bin/aainfo,1,1,43754
aatest,aalib-1.4rc5-18-x86_64,/binary-datasets/archsrc/pkg/00000/aalib-1.4rc5-18-x86_64/usr/bin/aatest,1,1,39654
libaa.so.1.0.4,aalib-1.4rc5-18-x86_64,/binary-datasets/archsrc/pkg/00000/aalib-1.4rc5-18-x86_64/usr/lib/libaa.so.1.0.4,,No source files,10613
aasavefont,aalib-1.4rc5-18-x86_64,/binary-datasets/archsrc/pkg/00000/aalib-1.4rc5-18-x86_64/usr/bin/aasavefont,1,1,101539
aarch64-linux-gnu-gprof,aarch64-linux-gnu-binutils-2.42-1-x86_64,/binary-datasets/archsrc/pkg/00000/aarch64-linux-gnu-binutils-2.42-1-x86_64/usr/bin/aarch64-linux-gnu-gprof,2481,2267,5702
aarch64-linux-gnu-strings,aarch64-linux-gnu-binutils-2.42-1-x86_64,/binary-datasets/archsrc/pkg/00000/aarch64-linux-gnu-binutils-2.42-1-x86_64/usr/bin/aarch64-linux-gnu-strings,2413,2199,96112
aarch64-linux-gnu-gp-display-src,aarch64-linux-gnu-binutils-2.42-1-x86_64,/binary-datasets/archsrc/pkg/00000/aarch64-linux-gnu-binutils-2.42-1-x86_64/usr/bin/aarch64-linux-gnu-gp-display-src,2815,2599,118160
aarch64-linux-gnu-gp-display-text,aarch64-linux-gnu-binutils-2.42-1-x86_64,/binary-datasets/archsrc/pkg/00000/aarch64-linux-gnu-binutils-2.42-1-x86_64/usr/bin/aarch64-linux-gnu-gp-display-text,2817,2601,51279
aarch64-linux-gnu-gprofng,aarch64-linux-gnu-binutils-2.42-1-x86_64,/binary-datasets/archsrc/pkg/00000/aarch64-linux-gnu-binutils-2.42-1-x86_64/usr/bin/aarch64-linux-gnu-gprofng,2816,2600,32487
aarch64-linux-gnu-size,aarch64-linux-gnu-binutils-2.42-1-x86_64,/binary-datasets/archsrc/pkg/00000/aarch64-linux-gnu-binutils-2.42-1-x86_64/usr/bin/aarch64-linux-gnu-size,2412,2198,83067
aarch64-linux-gnu-gp-collect-app,aarch64-linux-gnu-binutils-2.42-1-x86_64,/binary-datasets/archsrc/pkg/00000/aarch64-linux-gnu-binutils-2.42-1-x86_64/usr/bin/aarch64-linux-gnu-gp-collect-app,2822,2606,36169
aarch64-linux-gnu-addr2line,aarch64-linux-gnu-binutils-2.42-1-x86_64,/binary-datasets/archsrc/pkg/00000/aarch64-linux-gnu-binutils-2.42-1-x86_64/usr/bin/aarch64-linux-gnu-addr2line,2404,2190,91631
aarch64-linux-gnu-gp-archive,aarch64-linux-gnu-binutils-2.42-1-x86_64,/binary-datasets/archsrc/pkg/00000/aarch64-linux-gnu-binutils-2.42-1-x86_64/usr/bin/aarch64-linux-gnu-gp-archive,2815,2599,87288
aarch64-linux-gnu-dwp,aarch64-linux-gnu-binutils-2.42-1-x86_64,/binary-datasets/archsrc/pkg/00000/aarch64-linux-gnu-binutils-2.42-1-x86_64/usr/bin/aarch64-linux-gnu-dwp,363,357,19855
aarch64-linux-gnu-c++filt,aarch64-linux-gnu-binutils-2.42-1-x86_64,/binary-datasets/archsrc/pkg/00000/aarch64-linux-gnu-binutils-2.42-1-x86_64/usr/bin/aarch64-linux-gnu-c++filt,2402,2188,60139
aarch64-linux-gnu-elfedit,aarch64-linux-gnu-binutils-2.42-1-x86_64,/binary-datasets/archsrc/pkg/00000/aarch64-linux-gnu-binutils-2.42-1-x86_64/usr/bin/aarch64-linux-gnu-elfedit,56,56,53629
aarch64-linux-gnu-gdb,aarch64-linux-gnu-gdb-14.2-2-x86_64,/binary-datasets/archsrc/pkg/00000/aarch64-linux-gnu-gdb-14.2-2-x86_64/usr/bin/aarch64-linux-gnu-gdb,4759,4343,87122
libabc.so,abc-0.0.0.20221019-1-x86_64,/binary-datasets/archsrc/pkg/00000/abc-0.0.0.20221019-1-x86_64/usr/lib/libabc.so,,No source files,20090
abc,abc-0.0.0.20221019-1-x86_64,/binary-datasets/archsrc/pkg/00000/abc-0.0.0.20221019-1-x86_64/usr/bin/abc,1,1,36832
abduco,abduco-0.6-7-x86_64,/binary-datasets/archsrc/pkg/00000/abduco-0.6-7-x86_64/usr/bin/abduco,,No source files,61651
setfacl,acl-2.3.2-1-x86_64,/binary-datasets/archsrc/pkg/00000/acl-2.3.2-1-x86_64/usr/bin/setfacl,40,40,88546
getfacl,acl-2.3.2-1-x86_64,/binary-datasets/archsrc/pkg/00000/acl-2.3.2-1-x86_64/usr/bin/getfacl,22,22,67183
libacl.so.1.1.2302,acl-2.3.2-1-x86_64,/binary-datasets/archsrc/pkg/00000/acl-2.3.2-1-x86_64/usr/lib/libacl.so.1.1.2302,,No source files,34944
chacl,acl-2.3.2-1-x86_64,/binary-datasets/archsrc/pkg/00000/acl-2.3.2-1-x86_64/usr/bin/chacl,6,6,24337
acme,acme-2023.03.05-1-x86_64,/binary-datasets/archsrc/pkg/00000/acme-2023.03.05-1-x86_64/usr/bin/acme,,No source files,87113
acpi,acpi-1.7-3-x86_64,/binary-datasets/archsrc/pkg/00000/acpi-1.7-3-x86_64/usr/bin/acpi,24,24,96754
acpixtract,acpica-20240321-1-x86_64,/binary-datasets/archsrc/pkg/00000/acpica-20240321-1-x86_64/usr/bin/acpixtract,,No source files,39734
acpidump,acpica-20240321-1-x86_64,/binary-datasets/archsrc/pkg/00000/acpica-20240321-1-x86_64/usr/bin/acpidump,,No source files,3404
iasl,acpica-20240321-1-x86_64,/binary-datasets/archsrc/pkg/00000/acpica-20240321-1-x86_64/usr/bin/iasl,,No source files,52589
acpibin,acpica-20240321-1-x86_64,/binary-datasets/archsrc/pkg/00000/acpica-20240321-1-x86_64/usr/bin/acpibin,,No source files,10570
acpihelp,acpica-20240321-1-x86_64,/binary-datasets/archsrc/pkg/00000/acpica-20240321-1-x86_64/usr/bin/acpihelp,,No source files,84622
acpisrc,acpica-20240321-1-x86_64,/binary-datasets/archsrc/pkg/00000/acpica-20240321-1-x86_64/usr/bin/acpisrc,,No source files,67925
acpiexamples,acpica-20240321-1-x86_64,/binary-datasets/archsrc/pkg/00000/acpica-20240321-1-x86_64/usr/bin/acpiexamples,,No source files,23199
acpiexec,acpica-20240321-1-x86_64,/binary-datasets/archsrc/pkg/00000/acpica-20240321-1-x86_64/usr/bin/acpiexec,,No source files,59001
acpi_listen,acpid-2.0.34-1-x86_64,/binary-datasets/archsrc/pkg/00000/acpid-2.0.34-1-x86_64/usr/bin/acpi_listen,10,9,60001
acpid,acpid-2.0.34-1-x86_64,/binary-datasets/archsrc/pkg/00000/acpid-2.0.34-1-x86_64/usr/bin/acpid,90,89,16165
kacpimon,acpid-2.0.34-1-x86_64,/binary-datasets/archsrc/pkg/00000/acpid-2.0.34-1-x86_64/usr/bin/kacpimon,40,40,6135
adnshost,adns-1.6.0-2-x86_64,/binary-datasets/archsrc/pkg/00000/adns-1.6.0-2-x86_64/usr/bin/adnshost,40,40,73477
adnslogres,adns-1.6.0-2-x86_64,/binary-datasets/archsrc/pkg/00000/adns-1.6.0-2-x86_64/usr/bin/adnslogres,9,9,33949
adnsheloex,adns-1.6.0-2-x86_64,/binary-datasets/archsrc/pkg/00000/adns-1.6.0-2-x86_64/usr/bin/adnsheloex,7,7,75280
libadns.so.1.6,adns-1.6.0-2-x86_64,/binary-datasets/archsrc/pkg/00000/adns-1.6.0-2-x86_64/usr/lib/libadns.so.1.6,,No source files,40928
adnsresfilter,adns-1.6.0-2-x86_64,/binary-datasets/archsrc/pkg/00000/adns-1.6.0-2-x86_64/usr/bin/adnsresfilter,23,23,106509
aeolus,aeolus-0.10.4-2-x86_64,/binary-datasets/archsrc/pkg/00000/aeolus-0.10.4-2-x86_64/usr/bin/aeolus,,No source files,111679
aeolus_txt.so,aeolus-0.10.4-2-x86_64,/binary-datasets/archsrc/pkg/00000/aeolus-0.10.4-2-x86_64/usr/lib/aeolus_txt.so,,No source files,92112
aeolus_x11.so,aeolus-0.10.4-2-x86_64,/binary-datasets/archsrc/pkg/00000/aeolus-0.10.4-2-x86_64/usr/lib/aeolus_x11.so,,No source files,121744
agda-mode,agda-2.6.4-33-x86_64,/binary-datasets/archsrc/pkg/00000/agda-2.6.4-33-x86_64/usr/bin/agda-mode,,No source files,61182
libHSAgda-2.6.4-HMUQdlTIefGNM3J4dIXWz-ghc9.2.8.so,agda-2.6.4-33-x86_64,/binary-datasets/archsrc/pkg/00000/agda-2.6.4-33-x86_64/usr/lib/libHSAgda-2.6.4-HMUQdlTIefGNM3J4dIXWz-ghc9.2.8.so,,No source files,75249
agda,agda-2.6.4-33-x86_64,/binary-datasets/archsrc/pkg/00000/agda-2.6.4-33-x86_64/usr/bin/agda,,No source files,51505
aha,aha-0.5.1-3-x86_64,/binary-datasets/archsrc/pkg/00000/aha-0.5.1-3-x86_64/usr/bin/aha,11,11,29754
caiksaurus,aiksaurus-1.2.1-9-x86_64,/binary-datasets/archsrc/pkg/00000/aiksaurus-1.2.1-9-x86_64/usr/bin/caiksaurus,,No source files,23974
libAiksaurus-1.2.so.0.0.1,aiksaurus-1.2.1-9-x86_64,/binary-datasets/archsrc/pkg/00000/aiksaurus-1.2.1-9-x86_64/usr/lib/libAiksaurus-1.2.so.0.0.1,,No source files,80227
aiksaurus,aiksaurus-1.2.1-9-x86_64,/binary-datasets/archsrc/pkg/00000/aiksaurus-1.2.1-9-x86_64/usr/bin/aiksaurus,,No source files,109408
aj-snapshot,aj-snapshot-0.9.9-2-x86_64,/binary-datasets/archsrc/pkg/00000/aj-snapshot-0.9.9-2-x86_64/usr/bin/aj-snapshot,29,29,100042
alex,alex-3.2.7.4-2-x86_64,/binary-datasets/archsrc/pkg/00000/alex-3.2.7.4-2-x86_64/usr/bin/alex,,No source files,117358
aliki,aliki-0.3.0-3-x86_64,/binary-datasets/archsrc/pkg/00000/aliki-0.3.0-3-x86_64/usr/bin/aliki,,No source files,917
aliki-rt,aliki-0.3.0-3-x86_64,/binary-datasets/archsrc/pkg/00000/aliki-0.3.0-3-x86_64/usr/bin/aliki-rt,,No source files,27102
aserver,alsa-lib-1.2.12-1-x86_64,/binary-datasets/archsrc/pkg/00000/alsa-lib-1.2.12-1-x86_64/usr/bin/aserver,29,29,59945
libasound.so.2.0.0,alsa-lib-1.2.12-1-x86_64,/binary-datasets/archsrc/pkg/00000/alsa-lib-1.2.12-1-x86_64/usr/lib/libasound.so.2.0.0,,No source files,25235
libatopology.so.2.0.0,alsa-lib-1.2.12-1-x86_64,/binary-datasets/archsrc/pkg/00000/alsa-lib-1.2.12-1-x86_64/usr/lib/libatopology.so.2.0.0,,No source files,88560
libalsatoss.so.0.0.0,alsa-oss-1.1.8-5-x86_64,/binary-datasets/archsrc/pkg/00000/alsa-oss-1.1.8-5-x86_64/usr/lib/libalsatoss.so.0.0.0,,No source files,44380
libaoss.so.0.0.0,alsa-oss-1.1.8-5-x86_64,/binary-datasets/archsrc/pkg/00000/alsa-oss-1.1.8-5-x86_64/usr/lib/libaoss.so.0.0.0,,No source files,49742
amavisd-milter,amavisd-milter-1.7.2-1-x86_64,/binary-datasets/archsrc/pkg/00000/amavisd-milter-1.7.2-1-x86_64/usr/bin/amavisd-milter,27,27,105468
ambdec_cli,ambdec-0.7.1-2-x86_64,/binary-datasets/archsrc/pkg/00000/ambdec-0.7.1-2-x86_64/usr/bin/ambdec_cli,,No source files,24131
ambdec,ambdec-0.7.1-2-x86_64,/binary-datasets/archsrc/pkg/00000/ambdec-0.7.1-2-x86_64/usr/bin/ambdec,,No source files,65876
ambisonic3.so,amb-plugins-0.8.1-7-x86_64,/binary-datasets/archsrc/pkg/00000/amb-plugins-0.8.1-7-x86_64/usr/lib/ladspa/ambisonic3.so,,No source files,55849
ambisonic1.so,amb-plugins-0.8.1-7-x86_64,/binary-datasets/archsrc/pkg/00000/amb-plugins-0.8.1-7-x86_64/usr/lib/ladspa/ambisonic1.so,,No source files,88618
ambisonic0.so,amb-plugins-0.8.1-7-x86_64,/binary-datasets/archsrc/pkg/00000/amb-plugins-0.8.1-7-x86_64/usr/lib/ladspa/ambisonic0.so,,No source files,66863
ambisonic2.so,amb-plugins-0.8.1-7-x86_64,/binary-datasets/archsrc/pkg/00000/amb-plugins-0.8.1-7-x86_64/usr/lib/ladspa/ambisonic2.so,,No source files,52502
libaml.so.0.0.0,aml-0.3.0-1-x86_64,/binary-datasets/archsrc/pkg/00000/aml-0.3.0-1-x86_64/usr/lib/libaml.so.0.0.0,,No source files,80384
antiword,antiword-0.37-10-x86_64,/binary-datasets/archsrc/pkg/00000/antiword-0.37-10-x86_64/usr/bin/antiword,444,444,6878
libapr-1.so.0.7.4,apr-1.7.4-1-x86_64,/binary-datasets/archsrc/pkg/00000/apr-1.7.4-1-x86_64/usr/lib/libapr-1.so.0.7.4,,No source files,905
aqebics-tool,aqbanking-6.5.4-1-x86_64,/binary-datasets/archsrc/pkg/00000/aqbanking-6.5.4-1-x86_64/usr/bin/aqebics-tool,2,2,34954
swift.so,aqbanking-6.5.4-1-x86_64,/binary-datasets/archsrc/pkg/00000/aqbanking-6.5.4-1-x86_64/usr/lib/aqbanking/plugins/44/dbio/swift.so,,No source files,38758
aqhbci-tool4,aqbanking-6.5.4-1-x86_64,/binary-datasets/archsrc/pkg/00000/aqbanking-6.5.4-1-x86_64/usr/bin/aqhbci-tool4,2,2,35996
aqofxconnect-tool,aqbanking-6.5.4-1-x86_64,/binary-datasets/archsrc/pkg/00000/aqbanking-6.5.4-1-x86_64/usr/bin/aqofxconnect-tool,2,2,28510
aqbanking-cli,aqbanking-6.5.4-1-x86_64,/binary-datasets/archsrc/pkg/00000/aqbanking-6.5.4-1-x86_64/usr/bin/aqbanking-cli,56,56,92539
libaqbanking.so.44.5.4,aqbanking-6.5.4-1-x86_64,/binary-datasets/archsrc/pkg/00000/aqbanking-6.5.4-1-x86_64/usr/lib/libaqbanking.so.44.5.4,,No source files,39723
aqpaypal-tool,aqbanking-6.5.4-1-x86_64,/binary-datasets/archsrc/pkg/00000/aqbanking-6.5.4-1-x86_64/usr/bin/aqpaypal-tool,2,2,52180
arbtt-stats,arbtt-0.12.0.3-27-x86_64,/binary-datasets/archsrc/pkg/00000/arbtt-0.12.0.3-27-x86_64/usr/bin/arbtt-stats,,No source files,28237
arbtt-capture,arbtt-0.12.0.3-27-x86_64,/binary-datasets/archsrc/pkg/00000/arbtt-0.12.0.3-27-x86_64/usr/bin/arbtt-capture,,No source files,22008
arbtt-dump,arbtt-0.12.0.3-27-x86_64,/binary-datasets/archsrc/pkg/00000/arbtt-0.12.0.3-27-x86_64/usr/bin/arbtt-dump,,No source files,27353
arbtt-recover,arbtt-0.12.0.3-27-x86_64,/binary-datasets/archsrc/pkg/00000/arbtt-0.12.0.3-27-x86_64/usr/bin/arbtt-recover,,No source files,10813
arbtt-import,arbtt-0.12.0.3-27-x86_64,/binary-datasets/archsrc/pkg/00000/arbtt-0.12.0.3-27-x86_64/usr/bin/arbtt-import,,No source files,55234
arch-hs,arch-hs-0.11.1.0-144-x86_64,/binary-datasets/archsrc/pkg/00000/arch-hs-0.11.1.0-144-x86_64/usr/bin/arch-hs,0,0,90474
